ax,ay,bx,by,ax2,ay2
-0.005649717514,0.006451612903,177,155,0.6521532469,-0.1805248434
0.03125,-0.007407407407,32,135,0.1578627103,-0.7482175939
0.006369426752,-0.005464480874,157,183,-0.3041551386,-0.03396088427
-0.006711409396,-0.005102040816,149,196,0.3861971321,0.5984747521
-0.008,-0.005076142132,125,197,-0.1687161566,-0.5670379939
-0.006211180124,0.005586592179,161,179,0.8253811915,0.3775727744
0.006622516556,0.006134969325,151,163,-0.2950253125,-0.5876919247
0.005988023952,0.006211180124,167,161,-0.592539552,0.339980102
0.005988023952,0.01538461538,167,65,0.8028298136,0.5460598046
0.00826446281,0.01075268817,121,93,0.05381998865,-0.8823186034
0.005882352941,0.005235602094,170,191,0.5329520051,0.09239843463
-0.005524861878,-0.005847953216,181,171,0.318435191,-0.9151119706
-0.005524861878,0.006369426752,181,157,0.7381356591,0.142324984
0.005952380952,0.008,168,125,0.7400937496,-0.05230522931
-0.005988023952,-0.008403361345,167,119,-0.5154579223,-0.7830651697
-0.006451612903,-0.005208333333,155,192,0.8369878559,-0.3542766666
0.005464480874,0.005917159763,183,169,0.8092198129,0.8828045131
-0.005025125628,0.005405405405,199,185,0.9421749193,0.760291341
0.005128205128,-0.005347593583,195,187,0.2855329326,-0.6204417311
0.005263157895,-0.01587301587,190,63,-0.8843881926,-0.9682474739
0.007751937984,0.005917159763,129,169,0.8028184724,0.9098837834
0.005025125628,0.005917159763,199,169,0.08897805799,0.341818087
0.005235602094,-0.006060606061,191,165,0.03895048778,0.6943101949
0.007407407407,-0.007518796992,135,133,-0.7421267081,0.2493808729
0.005235602094,-0.008849557522,191,113,-0.794148891,-0.1087045911
0.005780346821,-0.006493506494,173,154,0.483282666,-0.7098478063
-0.007462686567,0.0101010101,134,99,0.1851402263,0.5033114765
-0.006711409396,-0.005988023952,149,167,-0.8563086589,-0.609570814
-0.008547008547,-0.005405405405,117,185,-0.6632037229,0.03046593929
0.00518134715,-0.00625,193,160,0.3403265053,0.1144917841
-0.005586592179,0.005917159763,179,169,0.797444545,0.8940868531
-0.005235602094,-0.007407407407,191,135,0.3915529852,0.2943630759
0.005555555556,0.009174311927,180,109,-0.8697893394,0.03380310735
0.005154639175,-0.005847953216,194,171,-0.01890420101,-0.3600746005
0.005780346821,0.005025125628,173,199,0.9349955272,0.2338925794
0.005780346821,-0.006493506494,173,154,-0.5387116863,-0.9173015264
0.005586592179,-0.00641025641,179,156,-0.3135932045,0.7650591648
-0.005524861878,-0.006451612903,181,155,-0.5814459759,-0.8140909108
0.006097560976,0.005780346821,164,173,-0.9722772926,0.05470213352
0.005291005291,-0.005586592179,189,179,-0.8668261263,0.2501970026
-0.005076142132,0.006451612903,197,155,0.4084658609,0.437915411
0.005780346821,0.00518134715,173,193,-0.08217841592,0.03324510152
0.008695652174,-0.006289308176,115,159,0.66580661,0.325873852
0.005102040816,-0.01052631579,196,95,-0.4645636287,0.7691900836
0.005524861878,0.005780346821,181,173,-0.3482200489,-0.7174492646
0.006622516556,-0.006711409396,151,149,0.7480107417,0.7249322188
0.005347593583,0.006622516556,187,151,-0.8153626899,-0.9218212503
-0.005882352941,-0.006622516556,170,151,-0.3848388956,0.3596818154
0.006211180124,0.005649717514,161,177,0.4656516612,0.4233518039
-0.005235602094,-0.005025125628,191,199,0.5513372579,0.4815118483
-0.006711409396,0.01052631579,149,95,-0.7532892637,-0.8249766524
-0.008547008547,-0.006211180124,117,161,0.90712754,-0.7455953161
-0.005780346821,0.005076142132,173,197,-0.08846579373,-0.2789695197
-0.005586592179,0.01136363636,179,88,-0.1684975426,0.1597850674
0.005235602094,-0.00518134715,191,193,0.1242012639,-0.4392596428
0.01298701299,0.006666666667,77,150,0.5195405431,-0.6488868711
0.00518134715,0.005464480874,193,183,0.8382368091,0.7613187628
0.01333333333,0.005917159763,75,169,-0.4058653298,0.8291027674
-0.01204819277,0.005780346821,83,173,0.7063753739,-0.8477199918
-0.01234567901,-0.005405405405,81,185,0.8966093097,0.219287186
-0.005128205128,0.006622516556,195,151,-0.5193882651,0.4138783857
0.006896551724,-0.005235602094,145,191,0.4747771856,0.2272065631
-0.005780346821,-0.006369426752,173,157,0.7748569127,-0.1663452311
-0.006451612903,-0.005524861878,155,181,-0.6361333844,-0.9720333249
0.01149425287,-0.006993006993,87,143,-0.6078621088,0.2960761055
-0.005208333333,-0.005347593583,192,187,0.6622739863,0.7033192961
-0.005714285714,0.005235602094,175,191,0.9916770202,0.1534970241
-0.008695652174,0.006802721088,115,147,0.02584842156,-0.8506397435
0.00518134715,-0.005586592179,193,179,-0.2961642408,-0.8263178934
0.005524861878,0.005464480874,181,183,-0.2714700424,-0.4369594222
0.006896551724,-0.005076142132,145,197,0.04670237599,-0.2635426711
-0.005235602094,0.007751937984,191,129,0.9211054148,0.4334661002
-0.005076142132,0.01408450704,197,71,-0.937923458,-0.9551529622
0.006329113924,0.01123595506,158,89,-0.7445048234,0.5538874445
